target,client_id,age,gender,education,marital_status,child_total,dependants,socstatus_work_fl,socstatus_pens_fl,fl_presence_fl,own_auto,family_income,personal_income,gen_industry,gen_title,work_time,credit,term,loan_num_total,loan_num_closed
0,106804416,24,0,Высшее,Состою в браке,0,0,2,1,0,0,свыше 50000 руб.,50000,Торговля,Специалист,30,45665,8,1,1
0,106804417,48,1,Высшее,Вдовец/Вдова,0,0,2,1,1,0,от 20000 до 50000 руб.,15000,Образование,Высококвалифиц. специалист,132,10000,6,1,1
0,106804418,43,1,Неоконченное высшее,Разведен(а),1,1,2,1,0,0,от 20000 до 50000 руб.,20000,Образование,Специалист,72,18471,3,2,1
0,106804419,23,0,Среднее специальное,Состою в браке,1,1,2,1,0,1,от 20000 до 50000 руб.,18000,Строительство,Специалист,30,7850,3,1,1
0,106804420,54,1,Среднее специальное,Не состоял в браке,2,0,2,1,0,0,свыше 50000 руб.,40000,Торговля,Работник сферы услуг,120,23166,5,1,1
0,106804421,37,0,Среднее,Состою в браке,1,1,2,1,0,1,от 10000 до 20000 руб.,10000,Государственная служба,Военнослужащий по контракту,14,7581,6,1,1
0,106804422,47,1,Высшее,Состою в браке,0,0,2,1,1,0,от 20000 до 50000 руб.,20000,Строительство,Высококвалифиц. специалист,14,34335,6,1,1
0,106804423,52,1,Высшее,Состою в браке,1,1,1,2,0,0,от 10000 до 20000 руб.,5700,,,,3143,3,2,2
0,106804424,24,0,Среднее,Состою в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,15000,Строительство,Специалист,36,10925,3,2,2
0,106804425,48,1,Среднее,Не состоял в браке,0,0,2,1,1,0,от 10000 до 20000 руб.,11000,Сельское хозяйство,Рабочий,324,10570,4,1,1
0,106804426,58,0,Среднее специальное,Состою в браке,2,0,1,2,0,0,от 10000 до 20000 руб.,9000,,,,14755,6,1,1
0,106804427,34,1,Высшее,Не состоял в браке,0,0,2,1,0,0,от 20000 до 50000 руб.,9000,Образование,Специалист,29,6163,6,1,1
0,106804428,31,1,Среднее специальное,Не состоял в браке,0,0,2,1,1,0,от 20000 до 50000 руб.,12800,Государственная служба,Военнослужащий по контракту,96,13441,10,2,1
0,106804429,31,0,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,20000,Торговля,Рабочий,12,16870,6,1,1
0,106804431,54,1,Высшее,Состою в браке,2,0,1,2,0,0,от 10000 до 20000 руб.,10000,,,,5500,3,1,1
0,106804432,35,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,15000,Здравоохранение,Специалист,72,4938,6,1,1
0,106804433,61,1,Среднее специальное,Состою в браке,2,0,1,2,0,0,от 10000 до 20000 руб.,5500,,,,17990,6,1,1
0,106804434,52,0,Среднее,Состою в браке,0,1,2,1,0,0,от 10000 до 20000 руб.,7000,Сельское хозяйство,Рабочий,360,7920,5,1,1
0,106804436,44,0,Неполное среднее,Гражданский брак,3,3,2,1,0,0,от 10000 до 20000 руб.,11000,Государственная служба,Рабочий,108,11070,6,1,1
0,106804437,63,1,Неполное среднее,Состою в браке,2,0,1,2,0,0,от 5000 до 10000 руб.,4800,,,,3000,6,1,1
0,106804438,30,0,Среднее специальное,Разведен(а),0,0,2,1,0,0,от 20000 до 50000 руб.,30000,Транспорт,Рабочий,48,9500,6,1,1
0,106804439,27,1,Среднее специальное,Не состоял в браке,0,0,2,1,0,0,от 5000 до 10000 руб.,5300,Другие сферы,Специалист,36,5690,6,1,1
0,106804440,35,1,Высшее,Не состоял в браке,0,0,2,1,1,0,свыше 50000 руб.,50000,Государственная служба,Специалист,4,9907.2,3,1,1
0,106804441,48,1,Среднее специальное,Состою в браке,2,0,2,1,1,0,от 10000 до 20000 руб.,11000,Сельское хозяйство,Специалист,120,15598,6,1,1
0,106804442,29,1,Среднее специальное,Состою в браке,1,1,2,1,1,0,от 20000 до 50000 руб.,11700,Государственная служба,Военнослужащий по контракту,96,21050,12,1,1
0,106804443,30,0,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,8000,Металлургия/Промышленность/Машиностроение,Рабочий,60,5431.2,6,1,1
0,106804444,31,1,Среднее,Состою в браке,1,1,2,1,1,0,от 10000 до 20000 руб.,5000,Металлургия/Промышленность/Машиностроение,Специалист,24,4250,4,2,2
0,106804445,51,1,Среднее специальное,Состою в браке,2,0,2,1,0,0,от 10000 до 20000 руб.,7500,Страхование,Специалист,60,5400,6,1,1
0,106804446,47,0,Среднее специальное,Состою в браке,2,1,2,1,1,1,от 20000 до 50000 руб.,18000,Другие сферы,Руководитель среднего звена,252,3750,9,2,2
0,106804447,26,0,Неоконченное высшее,Не состоял в браке,0,0,2,1,0,0,от 5000 до 10000 руб.,8000,Государственная служба,Специалист,24,4490,6,1,1
0,106804448,44,0,Среднее специальное,Состою в браке,2,2,2,1,0,0,от 20000 до 50000 руб.,20000,Нефтегазовая промышленность,Специалист,120,8330,5,1,1
0,106804450,35,1,Высшее,Не состоял в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,9000,Банк/Финансы,Специалист,28,3307,6,1,1
0,106804451,51,1,Среднее специальное,Вдовец/Вдова,1,0,2,1,1,0,от 10000 до 20000 руб.,11000,Коммунальное хоз-во/Дорожные службы,Рабочий,300,21380,4,1,1
0,106804452,43,1,Высшее,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,15000,СМИ/Реклама/PR-агенства,Высококвалифиц. специалист,12,9990,6,2,2
0,106804453,35,0,Среднее специальное,Не состоял в браке,1,1,2,1,0,1,от 10000 до 20000 руб.,15000,Транспорт,Специалист,4,5570,4,1,1
0,106804455,54,1,Среднее специальное,Состою в браке,0,0,2,1,1,0,от 20000 до 50000 руб.,15000,Сельское хозяйство,Руководитель среднего звена,36,15190,6,1,1
0,106804456,28,1,Неполное среднее,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,8000,Ресторанный бизнес/Общественное питание,Специалист,12,3299,6,1,1
0,106804457,53,0,Среднее специальное,Состою в браке,2,0,2,1,0,1,от 20000 до 50000 руб.,25000,Другие сферы,Специалист,72,10394,6,1,1
0,106804458,29,1,Среднее специальное,Состою в браке,1,1,2,1,1,0,от 10000 до 20000 руб.,11000,Другие сферы,Рабочий,12,6843,4,1,1
0,106804459,59,1,Высшее,Разведен(а),1,0,2,1,0,0,от 10000 до 20000 руб.,8500,Образование,Рабочий,48,8990,12,1,1
0,106804460,56,0,Среднее специальное,Состою в браке,3,0,2,1,0,0,от 10000 до 20000 руб.,4000,Сельское хозяйство,Рабочий,24,3610,10,1,1
0,106804461,37,1,Среднее,Состою в браке,3,3,2,2,1,0,от 20000 до 50000 руб.,15000,Другие сферы,Рабочий,192,9137,3,2,1
0,106804462,51,0,Среднее специальное,Состою в браке,1,0,2,1,0,0,от 10000 до 20000 руб.,8000,Другие сферы,Работник сферы услуг,196,10693,6,1,1
0,106804463,63,0,Среднее,Состою в браке,1,0,2,1,0,0,от 10000 до 20000 руб.,10000,Государственная служба,Рабочий,24,7199,6,1,1
0,106804464,31,0,Высшее,Состою в браке,0,0,2,1,0,0,от 20000 до 50000 руб.,18000,Энергетика,Руководитель низшего звена,94,10000,6,1,1
0,106804465,58,0,Высшее,Состою в браке,3,1,2,1,0,0,от 20000 до 50000 руб.,15000,Строительство,Руководитель высшего звена,108,21984.55,10,1,1
0,106804466,48,0,Среднее специальное,Состою в браке,2,0,2,1,0,0,от 10000 до 20000 руб.,12000,Металлургия/Промышленность/Машиностроение,Рабочий,25,3140,4,1,1
0,106804467,37,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,7300,Здравоохранение,Другое,190,10953,4,1,1
0,106804468,52,1,Среднее специальное,Не состоял в браке,0,0,2,1,1,0,от 20000 до 50000 руб.,25000,Сельское хозяйство,Специалист,348,8442,5,1,1
0,106804469,52,1,Среднее специальное,Не состоял в браке,0,0,2,1,1,0,от 10000 до 20000 руб.,8000,Другие сферы,Рабочий,96,5650,6,1,1
0,106804470,37,0,Среднее специальное,Разведен(а),0,0,2,1,0,1,от 10000 до 20000 руб.,12000,Государственная служба,Руководитель среднего звена,120,8991,9,1,1
0,106804471,22,0,Среднее специальное,Не состоял в браке,1,0,2,1,0,0,от 10000 до 20000 руб.,8000,Другие сферы,Специалист,10,18900,10,1,1
0,106804472,36,1,Среднее специальное,Состою в браке,2,2,2,1,0,0,от 20000 до 50000 руб.,10000,Торговля,Служащий,205,3906,6,1,1
0,106804473,37,0,Среднее,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,14500,Металлургия/Промышленность/Машиностроение,Рабочий,62,7452.4,6,1,1
0,106804474,63,0,Среднее специальное,Состою в браке,2,0,1,2,0,0,от 5000 до 10000 руб.,5000,,,,7319,6,1,1
0,106804475,26,0,Высшее,Не состоял в браке,0,0,2,1,1,0,от 10000 до 20000 руб.,10000,Государственная служба,Специалист,14,20700,10,2,1
0,106804477,45,1,Среднее,Не состоял в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,5000,Сельское хозяйство,Рабочий,12,4947,6,1,1
0,106804478,22,0,Среднее специальное,Состою в браке,1,2,2,1,0,0,от 10000 до 20000 руб.,12000,Энергетика,Рабочий,19,9621,6,1,1
0,106804479,57,0,Среднее,Не состоял в браке,0,0,2,2,0,1,от 20000 до 50000 руб.,30000,Другие сферы,Рабочий,48,37752,6,1,1
0,106804480,57,0,Среднее специальное,Состою в браке,0,0,1,2,0,0,от 10000 до 20000 руб.,6000,,,,16720,6,1,1
0,106804481,39,0,Высшее,Состою в браке,2,2,2,1,0,0,от 20000 до 50000 руб.,27000,Государственная служба,Военнослужащий по контракту,180,4950,4,1,1
0,106804482,37,1,Среднее специальное,Состою в браке,2,2,2,1,0,0,от 20000 до 50000 руб.,9000,Здравоохранение,Работник сферы услуг,120,11230,4,1,1
0,106804483,41,0,Среднее специальное,Не состоял в браке,0,0,2,1,0,1,от 10000 до 20000 руб.,18000,Другие сферы,Высококвалифиц. специалист,252,16190,4,1,1
0,106804484,34,0,Среднее специальное,Состою в браке,2,2,2,1,0,0,от 10000 до 20000 руб.,6000,Образование,Служащий,24,10000,3,2,2
0,106804485,44,0,Среднее специальное,Состою в браке,1,0,2,1,0,1,от 20000 до 50000 руб.,15000,Строительство,Служащий,36,7800,5,1,1
0,106804486,38,0,Среднее специальное,Состою в браке,1,1,2,1,1,0,от 20000 до 50000 руб.,13500,Государственная служба,Служащий,120,3890,6,1,1
0,106804487,40,1,Высшее,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,6500,Образование,Специалист,120,5020,3,1,1
0,106804488,40,0,Среднее специальное,Состою в браке,2,2,2,1,1,1,от 20000 до 50000 руб.,14000,Нефтегазовая промышленность,Специалист,156,9050,4,1,1
0,106804489,27,1,Неоконченное высшее,Состою в браке,1,1,2,1,0,1,от 20000 до 50000 руб.,15000,Строительство,Руководитель низшего звена,16,27000,10,1,1
0,106804490,29,0,Высшее,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,20000,Государственная служба,Специалист,84,18984,5,1,1
0,106804491,28,1,Высшее,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,10000,Банк/Финансы,Служащий,12,4250,6,1,1
0,106804492,41,1,Среднее специальное,Не состоял в браке,2,1,2,1,1,0,от 10000 до 20000 руб.,8600,Сельское хозяйство,Служащий,38,2881,6,1,1
0,106804493,39,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,35000,Торговля,Рабочий,72,34804,6,1,1
0,106804494,43,0,Среднее,Состою в браке,0,0,2,1,0,1,от 20000 до 50000 руб.,15000,Транспорт,Специалист,144,6898,12,1,1
0,106804495,57,1,Среднее специальное,Вдовец/Вдова,0,0,1,2,1,0,от 5000 до 10000 руб.,8000,,,,5970,3,2,2
0,106804496,50,1,Высшее,Состою в браке,0,0,2,1,0,0,от 20000 до 50000 руб.,15000,Образование,Специалист,216,14611,5,1,1
0,106804497,38,0,Среднее,Состою в браке,4,4,2,1,1,1,от 20000 до 50000 руб.,38000,Металлургия/Промышленность/Машиностроение,Специалист,36,19590,8,3,2
0,106804498,51,1,Среднее специальное,Разведен(а),0,0,2,1,1,0,от 20000 до 50000 руб.,25000,Другие сферы,Специалист,72,3590,4,1,1
0,106804500,35,1,Высшее,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,15000,Салоны красоты и здоровья,Специалист,70,8132,5,1,1
0,106804501,27,1,Высшее,Состою в браке,2,2,2,1,0,0,от 20000 до 50000 руб.,10000,Торговля,Работник сферы услуг,10,27356,12,1,1
0,106804502,48,1,Неполное среднее,Состою в браке,2,0,2,1,1,0,от 10000 до 20000 руб.,6000,Другие сферы,Рабочий,24,3500,6,1,1
0,106804503,50,1,Среднее специальное,Состою в браке,0,0,2,1,0,0,от 20000 до 50000 руб.,12000,ЧОП/Детективная д-ть,Специалист,48,16680,3,1,1
0,106804504,41,1,Среднее специальное,Состою в браке,2,2,2,1,0,0,от 5000 до 10000 руб.,5000,Другие сферы,Служащий,228,3034,5,1,1
0,106804505,42,1,Неоконченное высшее,Состою в браке,1,1,2,1,1,0,от 10000 до 20000 руб.,10000,Коммунальное хоз-во/Дорожные службы,Рабочий,126,6690,3,2,2
0,106804506,29,0,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,6200,Государственная служба,Рабочий,3,6990,6,1,1
0,106804507,27,0,Среднее специальное,Не состоял в браке,0,0,2,1,0,0,от 20000 до 50000 руб.,10000,Коммунальное хоз-во/Дорожные службы,Специалист,24,2090,6,1,1
0,106804508,40,0,Высшее,Состою в браке,2,2,2,1,1,0,от 20000 до 50000 руб.,20000,Торговля,Высококвалифиц. специалист,24,7080,6,1,1
0,106804509,29,1,Среднее специальное,Не состоял в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,15000,Торговля,Высококвалифиц. специалист,18,7380,6,1,1
0,106804510,53,1,Среднее,Разведен(а),0,0,2,1,0,0,от 5000 до 10000 руб.,6000,Ресторанный бизнес/Общественное питание,Рабочий,120,5695,6,1,1
0,106804511,46,0,Высшее,Состою в браке,1,0,2,1,0,0,от 10000 до 20000 руб.,8000,Другие сферы,Специалист,48,9100,4,1,1
0,106804512,57,1,Среднее специальное,Вдовец/Вдова,2,0,1,2,0,0,от 10000 до 20000 руб.,7000,,,,7360,9,1,1
0,106804513,32,1,Среднее специальное,Не состоял в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,10500,Металлургия/Промышленность/Машиностроение,Рабочий,60,4430,5,1,1
0,106804514,56,1,Среднее специальное,Состою в браке,0,0,2,1,1,0,от 20000 до 50000 руб.,170000,Другие сферы,Специалист,120,12500,4,1,1
0,106804515,51,1,Среднее специальное,Состою в браке,0,0,2,2,0,0,от 10000 до 20000 руб.,15000,Здравоохранение,Рабочий,312,5694,12,1,1
0,106804516,31,1,Высшее,Разведен(а),2,2,2,1,1,0,от 10000 до 20000 руб.,15000,Развлечения/Искусство,Специалист,28,17990,6,1,1
0,106804517,51,1,Среднее специальное,Состою в браке,2,0,2,1,0,0,от 10000 до 20000 руб.,10000,Государственная служба,Руководитель среднего звена,42,3690,9,1,1
0,106804518,43,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,8000,Здравоохранение,Специалист,360,13120,6,1,1
0,106804519,35,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,10000,Образование,Рабочий,13,30471,6,2,2
0,106804520,38,1,Среднее специальное,Не состоял в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,9000,Торговля,Специалист,30,5500,6,1,1
0,106804521,55,0,Среднее специальное,Состою в браке,0,0,2,1,1,0,от 20000 до 50000 руб.,20000,Коммунальное хоз-во/Дорожные службы,Специалист,420,43515,5,1,1
0,106804522,37,1,Высшее,Разведен(а),2,2,2,1,0,0,свыше 50000 руб.,60000,Сельское хозяйство,Руководитель высшего звена,7,83106,6,1,1
0,106804523,38,0,Среднее,Состою в браке,2,2,2,1,0,1,от 10000 до 20000 руб.,10000,Металлургия/Промышленность/Машиностроение,Рабочий,108,9000,6,1,1
0,106804524,23,1,Среднее,Не состоял в браке,2,2,2,1,0,0,от 5000 до 10000 руб.,8000,Государственная служба,Служащий,48,4520,6,1,1
0,106804525,53,0,Среднее специальное,Состою в браке,2,0,2,1,0,1,от 20000 до 50000 руб.,7000,Сельское хозяйство,Рабочий,360,21550,8,1,1
0,106804526,40,0,Среднее специальное,Состою в браке,2,0,2,1,0,0,от 10000 до 20000 руб.,7800,Сельское хозяйство,Рабочий,180,6750,6,1,1
0,106804527,59,1,Среднее,Состою в браке,3,1,2,2,1,0,свыше 50000 руб.,18000,Наука,Специалист,180,20690,12,2,1
0,106804528,37,1,Среднее специальное,Состою в браке,2,2,2,1,0,0,от 10000 до 20000 руб.,10000,Нефтегазовая промышленность,Специалист,24,5000,3,1,1
0,106804530,63,1,Высшее,Состою в браке,0,0,2,1,0,0,от 20000 до 50000 руб.,25000,Здравоохранение,Руководитель высшего звена,120,5390,3,1,1
0,106804531,57,1,Среднее специальное,Разведен(а),0,0,2,1,0,0,от 10000 до 20000 руб.,12000,Транспорт,Специалист,240,9750,4,1,1
0,106804533,31,0,Неоконченное высшее,Состою в браке,2,2,2,1,0,0,от 10000 до 20000 руб.,10000,Металлургия/Промышленность/Машиностроение,Специалист,84,29700,12,3,2
0,106804534,33,1,Среднее,Состою в браке,2,2,2,1,0,0,от 5000 до 10000 руб.,3300,Торговля,Рабочий,85,2890,4,1,1
0,106804535,31,0,Среднее,Состою в браке,1,2,2,1,0,0,от 20000 до 50000 руб.,30000,Строительство,Руководитель среднего звена,27,29615,12,2,1
0,106804536,51,1,Среднее специальное,Состою в браке,2,0,2,1,1,0,от 10000 до 20000 руб.,8000,Другие сферы,Рабочий,336,5740,6,2,1
0,106804537,28,0,Среднее,Состою в браке,1,2,2,1,0,0,от 20000 до 50000 руб.,25000,Металлургия/Промышленность/Машиностроение,Специалист,40,4673,5,2,2
0,106804538,27,1,Среднее,Не состоял в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,6000,Ресторанный бизнес/Общественное питание,Рабочий,36,5490,6,1,1
0,106804539,48,0,Высшее,Состою в браке,1,1,2,1,0,1,от 10000 до 20000 руб.,10000,Транспорт,Специалист,36,11590,6,1,1
0,106804540,24,0,Высшее,Состою в браке,1,1,2,1,0,0,от 5000 до 10000 руб.,6500,Сельское хозяйство,Специалист,12,35530,12,1,1
0,106804541,29,0,Среднее специальное,Состою в браке,1,1,2,1,1,0,от 20000 до 50000 руб.,25000,Нефтегазовая промышленность,Специалист,12,5436,6,1,1
0,106804542,66,1,Среднее специальное,Вдовец/Вдова,1,0,2,2,1,0,от 5000 до 10000 руб.,9300,Здравоохранение,Рабочий,468,3350,4,1,1
0,106804543,49,0,Среднее,Не состоял в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,10000,Сельское хозяйство,Рабочий,96,3690,6,1,1
0,106804544,23,0,Среднее,Не состоял в браке,0,0,2,1,0,0,свыше 50000 руб.,15000,Торговля,Специалист,24,6990,3,1,1
0,106804545,34,0,Высшее,Состою в браке,1,1,2,1,1,0,от 10000 до 20000 руб.,8000,Государственная служба,Военнослужащий по контракту,60,8880,6,1,1
0,106804547,34,1,Высшее,Состою в браке,1,1,2,1,1,0,от 20000 до 50000 руб.,18000,Металлургия/Промышленность/Машиностроение,Руководитель среднего звена,120,32800,3,2,2
0,106804548,49,1,Среднее специальное,Гражданский брак,0,0,2,1,0,0,от 10000 до 20000 руб.,10000,Здравоохранение,Рабочий,36,13920,10,1,1
0,106804549,29,0,Высшее,Не состоял в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,20000,Химия/Парфюмерия/Фармацевтика,Рабочий,18,24330,6,1,1
0,106804550,57,0,Неоконченное высшее,Состою в браке,3,0,2,1,0,1,от 10000 до 20000 руб.,12000,Сельское хозяйство,Руководитель среднего звена,72,12999,6,1,1
0,106804551,63,1,Высшее,Состою в браке,3,0,2,2,0,0,от 20000 до 50000 руб.,20000,Образование,Руководитель высшего звена,410,37880,3,1,1
0,106804552,33,0,Среднее,Состою в браке,0,0,2,1,0,1,от 20000 до 50000 руб.,35000,Другие сферы,Рабочий,48,16730,6,1,1
0,106804553,50,1,Среднее специальное,Состою в браке,1,0,1,2,0,0,от 10000 до 20000 руб.,8000,,,,40000,8,1,1
0,106804554,48,1,Среднее специальное,Состою в браке,0,0,2,1,0,0,от 20000 до 50000 руб.,18000,Другие сферы,Работник сферы услуг,168,17466,5,1,1
0,106804555,36,1,Высшее,Разведен(а),1,0,2,1,0,1,от 20000 до 50000 руб.,17000,Образование,Специалист,60,6800,4,1,1
0,106804556,34,0,Неполное среднее,Состою в браке,2,2,2,1,1,0,от 10000 до 20000 руб.,6000,Строительство,Рабочий,12,6100,12,2,1
0,106804557,23,0,Среднее специальное,Не состоял в браке,0,0,2,1,0,0,от 5000 до 10000 руб.,5500,Сельское хозяйство,Рабочий,23,4888,6,1,1
